SUBDIVISION,YEAR,ANNUAL,JF,MAM,JJAS,OND,Dengue cases,ANNUAL_TEMP,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
South Interior Karnataka,1958,1210.0,4.6,208.2,828.2,168.9,,29.34,25.43,31.74,31.23,27.01
South Interior Karnataka,1959,1280.9,2.7,115.3,1071.8,91.1,,29.02,24.05,31.71,30.99,27.03
South Interior Karnataka,1960,989.9,0.3,150.2,661.2,178.2,,29.31,25.49,31.17,31.29,27.36
South Interior Karnataka,1961,1409.5,5.5,226.7,996.2,181.1,,28.72,24.18,31.47,30.75,26.3
South Interior Karnataka,1962,1307.2,8.3,205.4,794.2,299.3,,28.89,24.24,31.31,31.08,26.65
South Interior Karnataka,1963,992.8,3.9,142.7,631.1,215.1,,29.04,24.73,30.94,31.28,27.0
South Interior Karnataka,1964,1169.4,0.1,75.2,890.3,203.7,,29.09,24.29,31.89,30.82,27.2
South Interior Karnataka,1965,735.2,1.2,71.3,597.5,65.1,,29.16,24.67,30.73,31.37,27.61
South Interior Karnataka,1966,1010.9,5.2,118.1,617.8,269.8,,29.41,25.54,31.69,31.24,27.26
South Interior Karnataka,1967,940.3,5.7,108.3,701.8,124.6,,29.14,25.31,31.04,31.32,26.9
South Interior Karnataka,1968,1001.0,8.0,127.8,739.2,126.0,,29.07,23.68,31.24,31.55,27.19
South Interior Karnataka,1969,1106.5,0.0,142.0,710.6,253.9,,29.61,24.99,32.02,31.55,27.71
South Interior Karnataka,1970,1073.8,6.7,183.4,645.0,238.7,,29.47,25.19,32.03,31.16,27.5
South Interior Karnataka,1971,1020.2,7.3,141.1,721.7,150.0,,29.15,24.99,31.58,30.91,27.17
South Interior Karnataka,1972,1064.0,1.1,217.5,642.0,203.5,,29.31,24.49,31.49,31.67,27.21
South Interior Karnataka,1973,1086.6,0.0,124.4,786.5,175.7,,29.44,25.35,32.19,31.28,26.97
South Interior Karnataka,1974,1051.5,0.1,152.0,754.5,144.9,,29.26,24.34,31.92,31.39,27.03
South Interior Karnataka,1975,1334.3,7.3,129.4,962.2,235.3,,28.89,24.12,31.62,30.66,26.99
South Interior Karnataka,1976,761.2,0.1,95.3,503.1,162.6,,29.27,24.61,31.45,31.09,27.76
South Interior Karnataka,1977,1207.8,1.3,201.8,697.1,307.4,,29.41,25.15,31.65,31.22,27.59
South Interior Karnataka,1978,1231.6,7.5,147.3,857.9,219.0,,29.23,24.36,31.57,31.11,27.64
South Interior Karnataka,1979,1120.8,29.5,84.4,809.6,197.2,,29.63,24.99,31.7,31.87,27.67
South Interior Karnataka,1980,1225.0,0.0,185.2,857.1,182.7,,29.58,25.21,32.2,31.36,27.51
South Interior Karnataka,1981,1184.6,1.9,140.0,880.2,162.5,,29.32,24.9,31.64,31.34,27.24
South Interior Karnataka,1982,1003.5,0.1,119.5,735.8,148.1,,29.12,24.51,30.79,31.55,27.26
South Interior Karnataka,1983,1111.2,0.0,83.0,870.3,157.8,,29.11,24.62,30.84,31.48,27.23
South Interior Karnataka,1984,1063.9,10.0,159.1,742.4,152.4,,29.28,24.11,32.12,31.09,27.46
South Interior Karnataka,1985,859.3,4.2,108.6,644.0,102.5,,29.61,25.29,32.51,31.28,27.35
South Interior Karnataka,1986,1030.2,23.1,81.8,743.4,181.8,,29.33,24.64,31.58,31.44,27.4
South Interior Karnataka,1987,934.7,0.3,77.9,542.3,314.2,,29.72,25.07,31.37,32.24,27.82
South Interior Karnataka,1988,1022.2,3.1,168.2,794.6,56.4,,29.55,25.39,31.75,31.34,27.76
South Interior Karnataka,1989,913.5,0.1,89.8,715.7,107.9,,29.18,24.51,31.35,31.11,27.57
South Interior Karnataka,1990,848.5,4.2,135.3,531.3,177.7,,29.14,25.0,30.84,31.18,27.5
South Interior Karnataka,1991,1221.2,1.1,175.3,792.2,252.6,,29.32,24.74,31.46,31.45,27.4
South Interior Karnataka,1992,1201.0,0.4,107.5,832.9,260.2,,29.23,24.6,31.32,31.28,27.49
South Interior Karnataka,1993,1038.1,0.5,95.5,648.9,293.2,,29.55,25.31,31.61,31.47,27.74
South Interior Karnataka,1994,1157.8,14.1,129.4,750.4,263.9,,29.46,25.09,31.85,31.3,27.52
South Interior Karnataka,1995,883.2,4.4,106.5,643.4,128.9,,30.18,25.68,32.4,32.01,28.52
South Interior Karnataka,1996,1044.0,1.3,104.0,767.5,171.2,,29.58,26.3,32.07,31.19,27.29
South Interior Karnataka,1997,1180.0,4.9,97.5,785.8,291.8,,29.05,24.63,31.26,31.77,26.65
South Interior Karnataka,1998,1113.3,0.1,82.2,815.4,215.7,,29.7,24.96,31.89,31.75,27.83
South Interior Karnataka,1999,1149.6,4.7,174.9,665.9,304.2,,29.81,25.16,32.45,31.55,27.95
South Interior Karnataka,2000,1207.2,16.9,105.9,852.1,232.3,196.0,29.75,24.82,32.22,31.25,28.53
South Interior Karnataka,2001,926.3,1.6,122.7,637.2,164.8,220.0,29.99,25.88,32.61,31.62,28.13
South Interior Karnataka,2002,755.8,13.4,100.0,454.5,187.8,428.0,30.23,25.37,33.06,32.02,28.36
South Interior Karnataka,2003,762.8,4.3,66.1,484.9,207.4,1226.0,29.75,25.32,32.05,31.72,27.7
South Interior Karnataka,2004,1133.4,21.9,258.7,716.8,136.0,291.0,29.79,25.47,32.69,31.42,27.65
South Interior Karnataka,2005,1319.3,11.1,153.8,851.0,303.5,587.0,29.6,24.96,31.81,31.84,27.5
South Interior Karnataka,2006,1030.5,0.3,187.2,695.3,147.7,109.0,30.06,27.44,32.08,31.39,27.78
South Interior Karnataka,2007,1231.0,0.4,117.5,927.9,185.3,230.0,29.84,25.73,32.32,31.4,28.03
South Interior Karnataka,2008,1140.6,21.5,200.1,764.4,154.6,339.0,29.64,24.72,32.11,31.25,28.29
South Interior Karnataka,2009,1158.4,0.2,153.9,827.5,176.8,1764.0,30.3,26.51,32.57,32.24,27.96
South Interior Karnataka,2010,1239.7,9.5,171.6,743.1,315.5,2285.0,30.13,25.96,33.47,31.43,27.78
South Interior Karnataka,2011,1087.4,14.5,176.1,690.2,206.5,,29.82,25.33,32.07,31.55,28.23
South Interior Karnataka,2012,877.8,10.1,152.6,563.5,151.6,,29.81,25.03,32.33,31.77,27.88
South Interior Karnataka,2013,1110.7,10.6,142.0,827.1,131.0,6408.0,29.81,25.58,32.58,31.33,27.83
South Interior Karnataka,2014,1184.2,2.8,195.0,794.5,191.8,3358.0,29.72,24.9,31.82,32.0,27.81
South Interior Karnataka,2015,1112.5,1.9,230.2,631.8,248.6,5077.0,29.9,25.74,31.68,31.87,28.27
South Interior Karnataka,2016,687.3,4.0,103.9,517.4,61.9,,31.63,28.33,34.57,32.28,30.03
South Interior Karnataka,2017,1061.7,5.0,191.8,665.2,199.8,,,,,,
